symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,155.98600,155.34100,154.66761,0.950,2025-01-16 15:40,2025-01-16 20:30,155.34100,TRAILED_SL,39.78,0.75,LONDON_CLOSE,NEUTRAL,True,,True,4,True,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.21963,1.21961,1.21434,0.950,2025-01-20 13:20,2025-01-20 15:30,1.21961,TRAILED_SL,2.42,0.23,NY_OPEN,BUY,True,,True,1,True,0.00
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,155.88000,155.71700,154.24582,1.000,2025-01-20 15:30,2025-01-20 17:05,155.71700,TRAILED_SL,16.30,0.26,LONDON_CLOSE,SELL,True,,True,1,False,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.22780,1.22778,1.22696,0.750,2025-01-21 15:45,2025-01-21 15:55,1.22778,TRAILED_SL,2.24,12.40,LONDON_CLOSE,NEUTRAL,True,,True,0,True,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,155.54200,155.30600,156.56784,1.000,2025-01-21 16:45,2025-01-21 17:40,155.30600,SL_HIT,-23.60,-1.00,LONDON_CLOSE,NEUTRAL,True,,False,0,False,0.00
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.22853,1.22847,1.22144,1.000,2025-01-21 16:45,2025-01-21 17:10,1.22847,TRAILED_SL,8.00,12.40,LONDON_CLOSE,NEUTRAL,True,,True,0,True,0.00
USDJPY,SELL,LH_LL_CONTINUATION,156.45200,156.57200,156.02600,1.000,2025-01-23 13:25,2025-01-23 14:00,156.57200,SL_HIT,-12.00,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
USDJPY,SELL,LH_LL_CONTINUATION,155.22900,155.31400,153.80250,0.850,2025-01-24 08:15,2025-01-24 08:30,155.31400,SL_HIT,-8.50,-1.00,LONDON_OPEN,NEUTRAL,True,,False,0,False,0.00
USDJPY,SELL,LH_LL_CONTINUATION,155.30400,155.49600,153.93350,0.850,2025-01-24 08:50,2025-01-24 09:05,155.49600,SL_HIT,-19.20,-1.00,LONDON_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,193.95400,194.23600,192.83849,0.950,2025-01-24 15:15,2025-01-24 16:15,194.23600,SL_HIT,-28.20,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,153.92200,154.00300,155.11828,1.000,2025-01-27 13:30,2025-01-27 14:50,154.00300,TRAILED_SL,8.28,0.30,NY_OPEN,NEUTRAL,True,,True,2,True,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,155.47200,155.22900,156.52502,0.850,2025-01-28 12:50,2025-01-28 15:30,155.22900,SL_HIT,-24.30,-0.58,NY_OPEN,SELL,True,,False,2,False,0.00
GBPJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,193.28500,193.01900,194.35762,0.950,2025-01-29 08:00,2025-01-29 10:45,193.01900,SL_HIT,-26.60,-1.00,LONDON_OPEN,NEUTRAL,True,,False,0,False,0.00
USDJPY,SELL,LH_LL_CONTINUATION,155.36000,155.41400,154.81000,1.000,2025-01-29 12:05,2025-01-29 13:30,155.41400,SL_HIT,-5.40,-0.54,NY_OPEN,SELL,True,,False,1,False,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.24168,1.24255,1.23609,0.850,2025-01-29 14:05,2025-01-29 14:55,1.24255,SL_HIT,-8.70,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
GBPJPY,SELL,LH_LL_CONTINUATION,192.71500,192.70505,192.20050,0.850,2025-01-29 16:30,2025-01-29 17:00,192.70505,TRAILED_SL,12.34,12.40,LONDON_CLOSE,SELL,True,,True,0,True,3.92
USDJPY,SELL,LH_LL_CONTINUATION,154.51200,154.58300,153.25500,0.850,2025-01-30 07:30,2025-01-30 08:00,154.58300,SL_HIT,-7.10,-0.15,LONDON_OPEN,SELL,True,,False,1,False,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.24444,1.24441,1.24299,0.950,2025-01-30 08:00,2025-01-30 08:50,1.24400,GIVEBACK_GUARD,5.90,17.10,LONDON_OPEN,NEUTRAL,True,,True,0,True,23.77
USDJPY,SELL,LH_LL_CONTINUATION,154.63000,154.58300,153.37300,0.850,2025-01-30 08:05,2025-01-30 09:45,154.58300,TRAILED_SL,9.44,0.26,LONDON_OPEN,SELL,True,,True,2,True,0.00
USDJPY,SELL,LH_LL_CONTINUATION,154.71000,154.75900,154.59050,0.850,2025-01-31 12:05,2025-01-31 12:10,154.75900,SL_HIT,-4.90,-1.00,NY_OPEN,SELL,True,,False,0,False,0.00
