symbol,setup_type,direction,kill_zone,entry_time,exit_time,entry_price,exit_price,sl_price,tp1_price,pnl_pips,exit_reason,partial_taken
GBPJPY,FVG_CONTINUATION,BUY,,2024-12-05 17:00:00+00:00,2024-12-05 19:30:00+00:00,191.743,191.193846,191.193846,,-54.915399999998726,SL_HIT,False
GBPJPY,FVG_CONTINUATION,BUY,,2024-12-06 15:45:00+00:00,2024-12-06 15:55:00+00:00,191.481,191.481,191.685455,,24.5345999999995,GIVEBACK_GUARD,True
GBPJPY,CONTINUATION_OB,BUY,,2024-12-09 16:15:00+00:00,2024-12-09 17:45:00+00:00,192.548,193.305,192.94663500000001,,78.11620000000005,GIVEBACK_GUARD,True
GBPJPY,CONTINUATION_OB,BUY,,2024-12-10 09:00:00+00:00,2024-12-10 10:10:00+00:00,192.856,193.322,192.298632,,46.60000000000082,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,BUY,,2024-12-10 13:30:00+00:00,2024-12-10 21:30:00+00:00,193.544,194.06,192.58905,,51.59999999999911,GIVEBACK_GUARD,False
GBPJPY,FVG_CONTINUATION,BUY,,2024-12-11 15:15:00+00:00,2024-12-11 16:30:00+00:00,194.372,193.95132,193.95132,,-42.06800000000044,SL_HIT,False
GBPJPY,FVG_CONTINUATION,BUY,,2024-12-11 16:30:00+00:00,2024-12-11 17:30:00+00:00,194.018,194.365,193.24274,,34.70000000000084,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,BUY,,2024-12-12 08:30:00+00:00,2024-12-12 13:55:00+00:00,194.755,193.873476,193.873476,,-88.15239999999847,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2024-12-13 06:00:00+00:00,2024-12-13 09:30:00+00:00,193.703,192.94334,192.94334,,-75.96599999999967,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2024-12-16 15:30:00+00:00,2024-12-16 17:35:00+00:00,194.932,195.692,195.374935,,83.55219999999974,GIVEBACK_GUARD,True
GBPJPY,CONTINUATION_OB,SELL,,2024-12-17 13:30:00+00:00,2024-12-17 16:40:00+00:00,195.303,194.954,196.033284,,34.899999999998954,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2024-12-19 14:45:00+00:00,2024-12-19 19:30:00+00:00,197.941,197.393,198.93006599999998,,54.80000000000018,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2024-12-20 06:00:00+00:00,2024-12-24 14:40:00+00:00,196.14,197.154522,197.154522,,-101.45219999999995,SL_HIT,False
GBPJPY,FVG_CONTINUATION,BUY,,2024-12-26 15:15:00+00:00,2024-12-26 17:50:00+00:00,197.338,197.726,196.44632000000001,,38.80000000000052,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,SELL,,2024-12-27 06:00:00+00:00,2024-12-27 14:20:00+00:00,197.407,198.044298,198.044298,,-63.729799999998704,SL_HIT,False
GBPJPY,FVG_CONTINUATION,BUY,,2024-12-30 06:00:00+00:00,2024-12-30 08:15:00+00:00,198.485,198.824,197.896414,,33.899999999999864,GIVEBACK_GUARD,False
GBPJPY,FVG_CONTINUATION,BUY,,2024-12-30 09:00:00+00:00,2024-12-30 15:55:00+00:00,198.53,197.896414,197.896414,,-63.35860000000082,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2024-12-31 13:30:00+00:00,2024-12-31 18:50:00+00:00,196.468,197.038,195.435346,,57.00000000000216,GIVEBACK_GUARD,False
GBPJPY,CONTINUATION_OB,BUY,,2025-01-06 14:30:00+00:00,2025-01-06 14:35:00+00:00,196.753,196.636,196.636,,-11.699999999999022,SL_HIT,False
GBPJPY,CONTINUATION_OB,SELL,,2025-01-06 16:45:00+00:00,2025-01-07 02:30:00+00:00,196.757,197.79079199999998,197.79079199999998,,-103.3791999999977,SL_HIT,False
GBPJPY,CONTINUATION_OB,BUY,,2025-01-07 13:30:00+00:00,2025-01-07 18:30:00+00:00,197.786,196.999212,196.999212,,-78.67880000000014,SL_HIT,False
GBPJPY,FVG_CONTINUATION,SELL,,2025-01-09 06:45:00+00:00,2025-01-09 09:00:00+00:00,194.773,194.65,195.346914,,12.299999999999045,GIVEBACK_GUARD,False
